disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
U.S. Wildfires,Wildfire,2008-09-01,2008-11-30,1764,1234,16,Fall 2008
U.S. Drought,Drought,2008-01-01,2008-12-31,10374,7009,0,2008
Southeast/Ohio Valley Severe Weather,Severe Storm,2009-02-10,2009-02-11,2558,1740,10,February 2009
Midwest/Southeast Tornadoes,Severe Storm,2009-03-25,2009-03-28,2411,1640,0,March 2009
South/Southeast Severe Weather and Tornadoes,Severe Storm,2009-04-09,2009-04-10,2087,1430,6,April 2009
Central Derecho and Tornadoes,Severe Storm,2009-05-07,2009-05-09,1257,861,7,May 2009
"Midwest, South and East Severe Weather",Severe Storm,2009-06-09,2009-06-12,1926,1328,0,June 2009
Colorado Hail Storm,Severe Storm,2009-07-20,2009-07-20,1450,1000,0,July 2009
Georgia Flooding,Flooding,2009-09-19,2009-09-22,1302,898,10,September 2009
Western Wildfires,Wildfire,2009-06-01,2009-11-30,1467,1011,10,Summer-Fall 2009
Southwest/Great Plains Drought,Drought,2009-01-01,2009-12-31,5168,3492,0,2009
Northeast Winter Storm,Winter Storm,2010-02-09,2010-02-11,1176,817,3,February 2010
Northeast Flooding,Flooding,2010-03-01,2010-03-31,2655,1844,11,March 2010
East/South Flooding and Severe Weather,Flooding,2010-04-30,2010-05-02,3263,2266,32,May 2010
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",Severe Storm,2010-05-10,2010-05-12,4767,3333,3,May 2010
Rockies/Central/East Severe Weather,Severe Storm,2010-06-10,2010-06-15,1288,901,2,June 2010
Midwest/Northeast Severe Storms and Flooding,Severe Storm,2010-07-20,2010-07-23,1356,948,0,July 2010
Arizona Severe Weather,Severe Storm,2010-10-05,2010-10-06,5434,3800,0,October 2010
Groundhog Day Blizzard,Winter Storm,2011-02-01,2011-02-03,2547,1794,36,February 2011
Midwest/Southeast Tornadoes and Derecho,Severe Storm,2011-04-04,2011-04-05,3857,2775,9,April 2011
Southeast/Midwest Tornadoes,Severe Storm,2011-04-08,2011-04-11,3029,2179,0,April 2011
Midwest/Southeast Tornadoes,Severe Storm,2011-04-14,2011-04-16,2862,2059,38,April 2011
Ohio Valley Derecho and Southern Tornadoes,Severe Storm,2011-04-19,2011-04-20,1442,1037,0,April 2011
Southeast/Ohio Valley/Midwest Tornadoes,Severe Storm,2011-04-25,2011-04-28,14208,10222,321,April 2011
Midwest/Southeast Tornadoes,Severe Storm,2011-05-22,2011-05-27,12553,9096,177,May 2011
Mississippi River flooding,Flooding,2011-04-01,2011-05-31,4240,2986,7,April-May 2011
Midwest/Southeast Tornadoes and Severe Weather,Severe Storm,2011-06-18,2011-06-22,2121,1537,3,June 2011
