,name,disaster,begDate,endDate,adjCost,unadjCost,deaths
333,Southern Severe Weather (April 2022),Severe Storm,20220411,20220413,2889.0,2675.0,1
334,Southern and Central Severe Weather (May 2022),Severe Storm,20220501,20220503,1218.9,1139.0,1
335,North Central Hail Storms (May 2022),Severe Storm,20220509,20220509,2332.8,2160.0,0
336,North Central Severe Weather (May 2022),Severe Storm,20220511,20220512,2922.5,2706.0,1
337,North Central Hail Storms (May 2022),Severe Storm,20220519,20220519,2601.4,2431.0,0
338,Central Severe Weather (June 2022),Severe Storm,20220607,20220608,2006.7,1911.0,0
339,Central Derecho (June 2022),Severe Storm,20220613,20220613,3355.0,3195.0,1
340,North Central and Eastern Severe Weather (July 2022),Severe Storm,20220722,20220724,1407.2,1340.0,1
341,Kentucky and Missouri Flooding (July 2022),Flooding,20220726,20220728,1538.3,1465.0,42
342,Hurricane Fiona (September 2022),Tropical Cyclone,20220917,20220918,2635.5,2510.0,25
343,Hurricane Ian (September 2022),Tropical Cyclone,20220928,20220930,117390.0,111800.0,152
344,Hurricane Nicole (November 2022),Tropical Cyclone,20221110,20221111,1071.0,1020.0,5
345,Western Wildfires (Spring-Fall 2022),Wildfire,20220401,20221130,3265.7,3110.0,17
346,Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,20221221,20221226,8868.1,8445.0,87
347,Western/Central Drought and Heat Wave (2022),Drought,20220101,20221231,23271.3,20965.0,136
348,Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,20230202,20230205,1821.1,1751.0,1
349,Southern and Eastern Severe Weather (March 2023),Severe Storm,20230302,20230303,6052.5,5876.0,13
350,California Flooding (December 2022 - March 2023),Flooding,20221226,20230319,4680.0,4500.0,22
351,Southern and Eastern Severe Weather (April 2023),Severe Storm,20230324,20230326,2927.6,2815.0,23
352,Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,20230331,20230401,5797.1,5628.0,33
353,Central and Eastern Severe Weather (April 2023),Severe Storm,20230404,20230406,2927.6,2815.0,5
354,Fort Lauderdale Flash Flood (April 2023),Flooding,20230412,20230413,1133.0,1100.0,0
355,Central and Southern Severe Weather (April 2023),Severe Storm,20230415,20230415,1375.1,1335.0,0
356,Central Severe Weather (April 2023),Severe Storm,20230419,20230420,3049.0,2960.0,1
357,Southern Severe Weather (April 2023),Severe Storm,20230425,20230427,1359.7,1320.0,0
358,Central Severe Weather (May 2023),Severe Storm,20230506,20230508,2201.3,2137.0,1
359,Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,20230510,20230512,3529.0,3426.0,1
360,Texas Hail Storms (May 2023),Severe Storm,20230518,20230519,1673.8,1625.0,0
